Section,Name,Item,Description
V3,Session,3.1.1,Verify the application never reveals session tokens in URL parameters or error messages.
V3,Session,3.2.1,Verify the application generates a new session token on user authentication. ([C6](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V3,Session,3.2.2,Verify that session tokens possess at least 64 bits of entropy. ([C6](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V3,Session,3.2.3,Verify the application only stores session tokens in the browser using secure methods such as appropriately secured cookies (see section 3.4) or HTML 5 session storage.
V3,Session,3.2.4,Verify that session token are generated using approved cryptographic algorithms. ([C6](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V3,Session,3.3.1,Verify that logout and expiration invalidate the session token; such that the back button or a downstream relying party does not resume an authenticated session; including across relying parties. ([C6](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V3,Session,3.3.3,Verify that the application terminates all other active sessions after a successful password change; and that this is effective across the application; federated login (if present); and any relying parties.
V3,Session,3.3.4,Verify that users are able to view and log out of any or all currently active sessions and devices.
V3,Session,3.4.1,Verify that cookie-based session tokens have the 'Secure' attribute set. ([C6](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V3,Session,3.4.2,Verify that cookie-based session tokens have the 'HttpOnly' attribute set. ([C6](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V3,Session,3.4.3,Verify that cookie-based session tokens utilize the 'SameSite' attribute to limit exposure to cross-site request forgery attacks. ([C6](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V3,Session,3.4.5,Verify that if the application is published under a domain name with other applications that set or use session cookies that might override or disclose the session cookies; set the path attribute in cookie-based session tokens using the most precise path possible. ([C6](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V3,Session,3.5.1,Verify the application does not treat OAuth and refresh tokens &mdash; on their own &mdash; as the presence of the subscriber and allows users to terminate trust relationships with linked applications.
V3,Session,3.5.2,Verify the application uses session tokens rather than static API secrets and keys; except with legacy implementations.
V3,Session,3.5.3,Verify that stateless session tokens use digital signatures; encryption; and other countermeasures to protect against tampering; enveloping; replay; null cipher; and key substitution attacks.
V3,Session,3.7.1,Verify the application ensures a valid login session or requires re-authentication or secondary verification before allowing any sensitive transactions or account modifications.
V4,Access,4.1.1,Verify that the application enforces access control rules on a trusted service layer; especially if client-side access control is present and could be bypassed.
V4,Access,4.1.2,Verify that all user and data attributes and policy information used by access controls cannot be manipulated by end users unless specifically authorized.
V4,Access,4.1.3,Verify that the principle of least privilege exists - users should only be able to access functions; data files; URLs; controllers; services; and other resources; for which they possess specific authorization. This implies protection against spoofing and elevation of privilege. ([C7](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V4,Access,4.1.4,Verify that the principle of deny by default exists whereby new users/roles start with minimal or no permissions and users/roles do not receive access to new features until access is explicitly assigned.  ([C7](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V4,Access,4.1.5,Verify that access controls fail securely including when an exception occurs. ([C10](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V4,Access,4.2.1,Verify that sensitive data and APIs are protected against direct object attacks targeting creation; reading; updating and deletion of records; such as creating or updating someone else's record; viewing everyone's records; or deleting all records.
V4,Access,4.2.2,Verify that the application or framework enforces a strong anti-CSRF mechanism to protect authenticated functionality; and effective anti-automation or anti-CSRF protects unauthenticated functionality.
V4,Access,4.3.1,Verify administrative interfaces use appropriate multi-factor authentication to prevent unauthorized use.
V4,Access,4.3.2,Verify that directory browsing is disabled unless deliberately desired. Additionally; applications should not allow discovery or disclosure of file or directory metadata; such as Thumbs.db; .DS_Store; .git or .svn folders.
V5,Validation,5.1.1,Verify that the application has defenses against HTTP parameter pollution attacks; particularly if the application framework makes no distinction about the source of request parameters (GET; POST; cookies; headers; or environment variables).
V5,Validation,5.1.2,Verify that frameworks protect against mass parameter assignment attacks; or that the application has countermeasures to protect against unsafe parameter assignment; such as marking fields private or similar. ([C5](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.1.3,Verify that all input (HTML form fields; REST requests; URL parameters; HTTP headers; cookies; batch files; RSS feeds; etc) is validated using positive validation (whitelisting). ([C5](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.1.4,Verify that structured data is strongly typed and validated against a defined schema including allowed characters; length and pattern (e.g. credit card numbers or telephone; or validating that two related fields are reasonable; such as checking that suburb and zip/postcode match). ([C5](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.1.5,Verify that URL redirects and forwards only allow whitelisted destinations; or show a warning when redirecting to potentially untrusted content.
V5,Validation,5.2.1,Verify that all untrusted HTML input from WYSIWYG editors or similar is properly sanitized with an HTML sanitizer library or framework feature. ([C5](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.2.2,Verify that unstructured data is sanitized to enforce safety measures such as allowed characters and length.
V5,Validation,5.2.4,Verify that the application avoids the use of eval() or other dynamic code execution features. Where there is no alternative; any user input being included must be sanitized or sandboxed before being executed.
V5,Validation,5.2.5,Verify that the application protects against template injection attacks by ensuring that any user input being included is sanitized or sandboxed.
V5,Validation,5.2.6,Verify that the application protects against SSRF attacks; by validating or sanitizing untrusted data or HTTP file metadata; such as filenames and URL input fields; use whitelisting of protocols; domains; paths and ports.
V5,Validation,5.2.7,Verify that the application sanitizes; disables; or sandboxes user-supplied SVG scriptable content; especially as they relate to XSS resulting from inline scripts; and foreignObject.
V5,Validation,5.2.8,Verify that the application sanitizes; disables; or sandboxes user-supplied scriptable or expression template language content; such as Markdown; CSS or XSL stylesheets; BBCode; or similar.
V5,Validation,5.3.1,Verify that output encoding is relevant for the interpreter and context required. For example; use encoders specifically for HTML values; HTML attributes; JavaScript; URL Parameters; HTTP headers; SMTP; and others as the context requires; especially from untrusted inputs (e.g. names with Unicode or apostrophes; such as ねこ or O'Hara). ([C4](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.3.10,Verify that the application protects against XPath injection or XML injection attacks. ([C4](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.3.2,Verify that output encoding preserves the user's chosen character set and locale; such that any Unicode character point is valid and safely handled. ([C4](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.3.3,Verify that context-aware; preferably automated - or at worst; manual - output escaping protects against reflected; stored; and DOM based XSS. ([C4](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.3.4,Verify that data selection or database queries (e.g. SQL; HQL; ORM; NoSQL) use parameterized queries; ORMs; entity frameworks; or are otherwise protected from database injection attacks. ([C3](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.3.5,Verify that where parameterized or safer mechanisms are not present; context-specific output encoding is used to protect against injection attacks; such as the use of SQL escaping to protect against SQL injection. ([C3; C4](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.3.6,Verify that the application projects against JavaScript or JSON injection attacks; including for eval attacks; remote JavaScript includes; CSP bypasses; DOM XSS; and JavaScript expression evaluation. ([C4](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.3.7,Verify that the application protects against LDAP Injection vulnerabilities; or that specific security controls to prevent LDAP Injection have been implemented. ([C4](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.3.8,Verify that the application protects against OS command injection and that operating system calls use parameterized OS queries or use contextual command line output encoding. ([C4](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.3.9,Verify that the application protects against Local File Inclusion (LFI) or Remote File Inclusion (RFI) attacks.
V5,Validation,5.4.3,Verify that sign; range; and input validation techniques are used to prevent integer overflows.
V5,Validation,5.5.1,Verify that serialized objects use integrity checks or are encrypted to prevent hostile object creation or data tampering. ([C5](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V5,Validation,5.5.2,Verify that the application correctly restricts XML parsers to only use the most restrictive configuration possible and to ensure that unsafe features such as resolving external entities are disabled to prevent XXE.
V5,Validation,5.5.3,Verify that deserialization of untrusted data is avoided or is protected in both custom code and third-party libraries (such as JSON; XML and YAML parsers).
V5,Validation,5.5.4,Verify that when parsing JSON in browsers or JavaScript-based backends; JSON.parse is used to parse the JSON document. Do not use eval() to parse JSON.
V6,Cryptography,6.1.1,Verify that regulated private data is stored encrypted while at rest; such as personally identifiable information (PII); sensitive personal information; or data assessed likely to be subject to EU's GDPR.
V6,Cryptography,6.1.3,Verify that regulated financial data is stored encrypted while at rest; such as financial accounts; defaults or credit history; tax records; pay history; beneficiaries; or de-anonymized market or research records.
V6,Cryptography,6.4.1,Verify that a secrets management solution such as a key vault is used to securely create; store; control access to and destroy secrets. ([C8](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V6,Cryptography,6.4.2,Verify that key material is not exposed to the application but instead uses an isolated security module like a vault for cryptographic operations. ([C8](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V7,Error,7.1.1,Verify that the application does not log credentials or payment details. Session tokens should only be stored in logs in an irreversible; hashed form. ([C9; C10](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V7,Error,7.1.2,Verify that the application does not log other sensitive data as defined under local privacy laws or relevant security policy. ([C9](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V7,Error,7.1.3,Verify that the application logs security relevant events including successful and failed authentication events; access control failures; deserialization failures and input validation failures. ([C5; C7](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V7,Error,7.1.4,Verify that each log event includes necessary information that would allow for a detailed investigation of the timeline when an event happens. ([C9](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V7,Error,7.2.1,Verify that all authentication decisions are logged; without storing sensitive session identifiers or passwords. This should include requests with relevant metadata needed for security investigations.
V7,Error,7.2.2,Verify that all access control decisions can be logged and all failed decisions are logged. This should include requests with relevant metadata needed for security investigations.
V7,Error,7.4.1,Verify that a generic message is shown when an unexpected or security sensitive error occurs; potentially with a unique ID which support personnel can use to investigate.  ([C10](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V7,Error,7.4.2,Verify that exception handling (or a functional equivalent) is used across the codebase to account for expected and unexpected error conditions. ([C10](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V7,Error,7.4.3,"Verify that a ""last resort"" error handler is defined which will catch all unhandled exceptions. ([C10](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))"
V8,Data,8.2.1,Verify the application sets sufficient anti-caching headers so that sensitive data is not cached in modern browsers.
V8,Data,8.2.2,Verify that data stored in client side storage (such as HTML5 local storage; session storage; IndexedDB; regular cookies or Flash cookies) does not contain sensitive data or PII.
V8,Data,8.2.3,Verify that authenticated data is cleared from client storage; such as the browser DOM; after the client or session is terminated.
V8,Data,8.3.1,Verify that sensitive data is sent to the server in the HTTP message body or headers; and that query string parameters from any HTTP verb do not contain sensitive data.
V8,Data,8.3.2,Verify that users have a method to remove or export their data on demand.
V8,Data,8.3.3,Verify that users are provided clear language regarding collection and use of supplied personal information and that users have provided opt-in consent for the use of that data before it is used in any way.
V8,Data,8.3.4,Verify that all sensitive data created and processed by the application has been identified; and ensure that a policy is in place on how to deal with sensitive data. ([C8](https://www.owasp.org/index.php/OWASP_Proactive_Controls#tab=Formal_Numbering))
V8,Data,8.3.5,Verify accessing sensitive data is audited (without logging the sensitive data itself); if the data is collected under relevant data protection directives or where logging of access is required.
V8,Data,8.3.6,Verify that sensitive information contained in memory is overwritten as soon as it is no longer required to mitigate memory dumping attacks; using zeroes or random data.
